nconst,primaryName,primaryProfession,knownForTitles,popularity,known_for_department,profile_path
nm0263645,Jason Evers,"actor,soundtrack,archive_footage","tt0052646,tt0063035,tt0075857,tt0067065",3.801,Acting,https://image.tmdb.org/t/p/original/jbm0AiJvYowMoaDOEZQCcAoiEOx.jpg
nm0500702,Virginia Leith,"actress,archive_footage,archive_sound","tt0052646,tt0049414,tt0048790,tt0047702",2.572,Acting,https://image.tmdb.org/t/p/original/cMZ7Cqx6wohiKd2cR0VjwXLQIeZ.jpg
nm0200012,Anthony La Penna,"miscellaneous,actor,sound_department","tt0052646,tt0046511,tt0080892,tt0067956",0.645,Acting,https://image.tmdb.org/t/p/original/4uWNXxq3846bUtneOcDA08N6qKD.jpg
nm0483641,Adele Lamont,"actress,archive_footage,archive_sound","tt0052646,tt0053544",0.434,Acting,
nm0561128,Paula Morris,actress,"tt0052646,tt0047012,tt0054793,tt0251300",0.266,Acting,
nm0360516,Marilyn Hanold,"actress,archive_footage","tt0059199,tt0052646,tt0061810,tt0050047",0.651,Acting,https://image.tmdb.org/t/p/original/afXJVfSIlqTzV5fsFuMt8do54PA.jpg
nm0109217,Bruce Brighton,"actor,archive_footage","tt0052646,tt0047763",0.001,Acting,
nm0293291,Arny Freeman,"actor,soundtrack,archive_footage","tt0072228,tt0047763,tt0043231,tt0077031",1.544,Acting,https://image.tmdb.org/t/p/original/rTiBXkTyGjxrrc0hXMd9FFdxTTJ.jpg
nm0001258,James Garner,"actor,producer,director","tt0332280,tt0071042,tt0057115,tt0186566",18.035,Acting,https://image.tmdb.org/t/p/original/hiPky3VwIOAlmPhJwzRovEsGDrI.jpg
nm0000081,Natalie Wood,"actress,music_department,miscellaneous","tt0048545,tt0055614,tt0055471,tt0057263",12.819,Acting,https://image.tmdb.org/t/p/original/6me9oS7GV1VjejWV61XD6y7fVA1.jpg
nm0001225,Nina Foch,"actress,miscellaneous,director","tt0043278,tt0049833,tt0054331,tt0037932",7.924,Acting,https://image.tmdb.org/t/p/original/zkSVQYtUBFKpoBXCyIA0dW8N5Tj.jpg
nm0415591,Dean Jagger,"actor,soundtrack,archive_footage","tt0047673,tt0067927,tt0041996,tt0047849",5.099,Acting,https://image.tmdb.org/t/p/original/fgAzRigYun0yXqIdAYPUA4GViFq.jpg
nm0550855,E.G. Marshall,"actor,writer,producer","tt0050083,tt0066473,tt0097958,tt0081573",6.436,Acting,https://image.tmdb.org/t/p/original/psimeVoRk64DV7UNm4cLQylRFy2.jpg
nm0428216,Henry Jones,"actor,soundtrack,archive_footage","tt0052357,tt0099703,tt0064115,tt0048977",4.805,Acting,https://image.tmdb.org/t/p/original/8rBuIpP5Wlzoh8ow7cp5bOekedU.jpg
nm0472603,Otto Kruger,"actor,soundtrack,archive_footage","tt0035279,tt0044706,tt0037101,tt0037678",6.508,Acting,https://image.tmdb.org/t/p/original/nGSvwcSyD0645Vuv1xTJbzA21aq.jpg
nm0935996,Roland Winters,"actor,writer,archive_footage","tt0040296,tt0054692,tt0039262,tt0040347",1.786,Acting,https://image.tmdb.org/t/p/original/3dZQ2NzZwvgOVODs3WxmqrtfWU3.jpg
nm0686857,Edward Platt,"actor,producer,soundtrack","tt0053125,tt0048545,tt0058805,tt0055824",5.516,Acting,https://image.tmdb.org/t/p/original/uVl1ZzKXkvJSTHVYyfNriMV8BNV.jpg
nm0825264,Edgar Stehli,"actor,archive_footage","tt0046963,tt0052530,tt0054642,tt0051435",2.52,Acting,https://image.tmdb.org/t/p/original/6E5dIhr02ekhtthMmkpcDLTN1tT.jpg
nm0678928,Joseph Pevney,"director,actor,producer","tt0060028,tt0051051,tt0050681,tt0042953",2.097,Directing,https://image.tmdb.org/t/p/original/rKx4Q5T9TYG8UUhy0dn5Fgov0DT.jpg
nm0893341,Lino Ventura,"actor,miscellaneous,soundtrack","tt0064040,tt0051378,tt0069815,tt0084340",6.424,Acting,https://image.tmdb.org/t/p/original/j8D4ox5jSavrB7G8KrlxEIxivEq.jpg
nm0590452,Sandra Milo,"actress,miscellaneous,archive_footage","tt0056801,tt0059229,tt0053570,tt0057664",4.776,Acting,https://image.tmdb.org/t/p/original/uBuFRl43GcQN4qAbeWA9rvkY2Yf.jpg
nm0000901,Jean-Paul Belmondo,"actor,producer,stunts","tt0059592,tt0055082,tt0053472,tt0082949",15.733,Acting,https://image.tmdb.org/t/p/original/hXAM7zTXGWVAv0VLGGrnxAJJbca.jpg
nm0197950,Marcel Dalio,"actor,miscellaneous,writer","tt0047437,tt0031885,tt0037382,tt0060522",6.602,Acting,https://image.tmdb.org/t/p/original/yYZMbAl56e5S7uFbiFbj0YziIDB.jpg
nm0033929,Michel Ardan,"actor,producer,writer","tt0286508,tt0070129,tt0052698,tt0211390",2.269,Acting,https://image.tmdb.org/t/p/original/760YbNY7livHkfvBPDXNubraKBG.jpg
