tconst,nconst,category
tt0052646,nm0263645,actor
tt0052646,nm0500702,actress
tt0052646,nm0500702,actress
tt0052646,nm0200012,actor
tt0052646,nm0483641,actress
tt0052646,nm0788771,actress
tt0052646,nm0561128,actress
tt0052646,nm0360516,actress
tt0052646,nm0109217,actor
tt0052646,nm0293291,actor
tt0052646,nm0552299,actor
tt0052646,nm0338018,director
tt0052680,nm0001258,actor
tt0052680,nm0000081,actress
tt0052680,nm0001225,actress
tt0052680,nm0415591,actor
tt0052680,nm0550855,actor
tt0052680,nm0428216,actor
tt0052680,nm0472603,actor
tt0052680,nm0935996,actor
tt0052680,nm0686857,actor
tt0052680,nm0825264,actor
tt0052680,nm0678928,director
tt0052698,nm0893341,actor
tt0052698,nm0590452,actress
tt0052698,nm0000901,actor
tt0052698,nm0197950,actor
tt0052698,nm0033929,actor
tt0052698,nm0289842,actress
tt0052698,nm0617741,actress
tt0052698,nm0472020,actor
tt0052698,nm0449166,actress
tt0052698,nm0773723,actress
tt0052698,nm0767110,director
tt0052811,nm0001088,actor
tt0052811,nm0491928,actress
tt0052811,nm0000587,actor
tt0052811,nm0741394,actor
tt0052811,nm0396881,actress
tt0052811,nm0909614,actor
tt0052811,nm0925794,actress
tt0052811,nm0129055,actor
tt0052811,nm0371156,actor
tt0052811,nm0694187,actress
tt0052811,nm0319241,director
tt0052832,nm0000008,actor
tt0052832,nm0940946,actress
tt0052832,nm0536167,actress
tt0052832,nm0822972,actress
tt0052832,nm0430460,actor
tt0052832,nm0035866,actor
tt0052832,nm0156821,actress
tt0052832,nm0944869,actor
tt0052832,nm0112928,actor
tt0052832,nm0675207,actress
tt0052832,nm0001486,director
tt0053459,nm0105482,actor
tt0053459,nm0885098,actress
tt0053459,nm0562831,actress
tt0053459,nm0726777,actor
tt0053459,nm0022675,actress
tt0053459,nm0087926,actor
tt0053459,nm0778568,actress
tt0053459,nm0105475,actor
tt0053459,nm0262014,actor
tt0053459,nm0262014,actor
tt0053459,nm0959923,actress
tt0053459,nm0290802,director
tt0053472,nm0000901,actor
tt0053472,nm0781029,actress
tt0053472,nm0000419,actor
tt0053472,nm0049838,actor
tt0053472,nm0099429,actor
tt0053472,nm0102722,actor
tt0053472,nm0003606,actor
tt0053472,nm0126864,actor
tt0053472,nm0231308,actor
tt0053472,nm0000419,director
tt0053559,nm0378517,actor
tt0053559,nm0607507,actress
tt0053559,nm0590398,actor
tt0053559,nm0213619,actress
